Group Name,CVE,Severity,Description,Attack Vector,Attack Complexity,Privileges Required,User Interaction,Confidentiality,Integrity,Availability,CPE String
Vice Society,CVE-2021-1675,8.8 ,Windows Print Spooler Elevation of Privilege Vulnerability,Network,Low,None,Required,High,High,High,"[['Operating System', 'microsoft', 'windows_server_2008', '-'], ['Operating System', 'microsoft', 'windows_server_2008', 'r2'], ['Operating System', 'microsoft', 'windows_server_2012', '-'], ['Operating System', 'microsoft', 'windows_server_2012', 'r2'], ['Operating System', 'microsoft', 'windows_10', '-'], ['Operating System', 'microsoft', 'windows_10', '20h2'], ['Operating System', 'microsoft', 'windows_10', '21h1'], ['Operating System', 'microsoft', 'windows_10', '1607'], ['Operating System', 'microsoft', 'windows_10', '1809'], ['Operating System', 'microsoft', 'windows_10', '1909'], ['Operating System', 'microsoft', 'windows_10', '2004'], ['Operating System', 'microsoft', 'windows_7', '-'], ['Operating System', 'microsoft', 'windows_8.1', '-'], ['Operating System', 'microsoft', 'windows_server_2008', '-'], ['Operating System', 'microsoft', 'windows_server_2008', 'r2'], ['Operating System', 'microsoft', 'windows_server_2012', '-'], ['Operating System', 'microsoft', 'windows_server_2012', 'r2']]"
Vice Society,CVE-2021-34527,8.8 ,Windows Print Spooler Remote Code Execution Vulnerability,Network,Low,Low,None,High,High,High,"[['Operating System', 'microsoft', 'windows_10', '-'], ['Operating System', 'microsoft', 'windows_10', '20h2'], ['Operating System', 'microsoft', 'windows_10', '21h1'], ['Operating System', 'microsoft', 'windows_10', '1607'], ['Operating System', 'microsoft', 'windows_10', '1809'], ['Operating System', 'microsoft', 'windows_10', '1909'], ['Operating System', 'microsoft', 'windows_10', '2004'], ['Operating System', 'microsoft', 'windows_7', '-'], ['Operating System', 'microsoft', 'windows_8.1', '-']]"
Vice Society,CVE-2022-35405,9.8 ,Zoho ManageEngine Password Manager Pro before 12101 and PAM360 before 5510 are vulnerable to unauthenticated remote code execution. (This also affects ManageEngine Access Manager Plus before 4303 with authentication.),Network,Low,None,None,High,High,High,"[['Application', 'zohocorp', 'manageengine_access_manager_plus', 'versions up to (excluding) 4.3'], ['Application', 'zohocorp', 'manageengine_access_manager_plus', '4.3'], ['Application', 'zohocorp', 'manageengine_access_manager_plus', '4.3'], ['Application', 'zohocorp', 'manageengine_access_manager_plus', '4.3'], ['Application', 'zohocorp', 'manageengine_pam360', 'versions up to (excluding) 5.5'], ['Application', 'zohocorp', 'manageengine_pam360', '5.5']]"
Vice Society,CVE-2021-36958,7.8 ,"Windows Print Spooler Remote Code Execution Vulnerability This CVE ID is unique from CVE-2021-36936, CVE-2021-36947.",Local,Low,None,Required,High,High,High,"[['Operating System', 'microsoft', 'windows', '-']]"
Vice Society,CVE-2021-34481,7.8 ,Windows Print Spooler Elevation of Privilege Vulnerability,Local,Low,Low,None,High,High,High,"[['Operating System', 'microsoft', 'windows', '-'], ['Operating System', 'microsoft', 'windows_10', '-'], ['Operating System', 'microsoft', 'windows_10', '20h2'], ['Operating System', 'microsoft', 'windows_10', '21h1'], ['Operating System', 'microsoft', 'windows_10', '1607'], ['Operating System', 'microsoft', 'windows_10', '1809'], ['Operating System', 'microsoft', 'windows_10', '1909'], ['Operating System', 'microsoft', 'windows_10', '2004'], ['Operating System', 'microsoft', 'windows_7', '-'], ['Operating System', 'microsoft', 'windows_8.1', '-'], ['Operating System', 'microsoft', 'windows', '-']]"
Vice Society,CVE-2022-31656,9.8 ,"VMware Workspace ONE Access, Identity Manager and vRealize Automation contain an authentication bypass vulnerability affecting local domain users. A malicious actor with network access to the UI may be able to obtain administrative access without the need to authenticate.",Network,Low,None,None,High,High,High,"[['Application', 'vmware', 'access_connector', '21.08.0.0'], ['Application', 'vmware', 'access_connector', '21.08.0.1'], ['Application', 'vmware', 'access_connector', '22.05'], ['Application', 'vmware', 'identity_manager_connector', '3.3.4'], ['Application', 'vmware', 'identity_manager_connector', '3.3.5'], ['Application', 'vmware', 'identity_manager_connector', '3.3.6'], ['Application', 'vmware', 'identity_manager_connector', '19.03'], ['Application', 'vmware', 'identity_manager', '3.3.4'], ['Application', 'vmware', 'identity_manager', '3.3.5'], ['Application', 'vmware', 'identity_manager', '3.3.6'], ['Application', 'vmware', 'one_access', '21.08.0.0'], ['Application', 'vmware', 'one_access', '21.08.0.1'], ['Operating System', 'linux', 'linux_kernel', '-']]"
DarkSide,CVE-2021-20016,9.8 ,A SQL-Injection vulnerability in the SonicWall SSLVPN SMA100 product allows a remote unauthenticated attacker to perform SQL query to access username password and other session related information. This vulnerability impacts SMA100 build version 10.x.,Network,Low,None,None,High,High,High,"[['Operating System', 'sonicwall', 'sma_100_firmware', '*'], ['Hardware Devices', 'sonicwall', 'sma_100', '-'], ['Operating System', 'sonicwall', 'sma_200_firmware', '-'], ['Hardware Devices', 'sonicwall', 'sma_200', '-'], ['Operating System', 'sonicwall', 'sma_210_firmware', '-'], ['Hardware Devices', 'sonicwall', 'sma_210', '-'], ['Operating System', 'sonicwall', 'sma_400_firmware', '-'], ['Hardware Devices', 'sonicwall', 'sma_400', '-'], ['Operating System', 'sonicwall', 'sma_410_firmware', '-'], ['Hardware Devices', 'sonicwall', 'sma_410', '-'], ['Application', 'sonicwall', 'sma_500v', '-']]"
DarkSide,CVE-2019-5544,9.8 ,OpenSLP as used in ESXi and the Horizon DaaS appliances has a heap overwrite issue. VMware has evaluated the severity of this issue to be in the Critical severity range with a maximum CVSSv3 base score of 9.8.,Network,Low,None,None,High,High,High,"[['Operating System', 'fedoraproject', 'fedora', '30'], ['Operating System', 'fedoraproject', 'fedora', '31'], ['Application', 'vmware', 'horizon_daas', '8.0.0'], ['Application', 'vmware', 'horizon_daas', '8.0.1'], ['Operating System', 'vmware', 'esxi', '6.0'], ['Operating System', 'vmware', 'esxi', '6.5'], ['Operating System', 'vmware', 'esxi', '6.7'], ['Application', 'vmware', 'horizon_daas', '*'], ['Operating System', 'vmware', 'esxi', '6.0'], ['Operating System', 'vmware', 'esxi', '6.0'], ['Operating System', 'vmware', 'esxi', '6.0'], ['Operating System', 'vmware', 'esxi', '6.0'], ['Operating System', 'vmware', 'esxi', '6.0'], ['Operating System', 'vmware', 'esxi', '6.0'], ['Operating System', 'vmware', 'esxi', '6.0'], ['Operating System', 'vmware', 'esxi', '6.0'], ['Application', 'openslp', 'openslp', '1.2.1'], ['Application', 'openslp', 'openslp', '2.0.0'], ['Application', 'vmware', 'horizon_daas', '8.0.0'], ['Application', 'vmware', 'horizon_daas', '8.0.1'], ['Operating System', 'vmware', 'esxi', '6.0'], ['Operating System', 'vmware', 'esxi', '6.5'], ['Operating System', 'vmware', 'esxi', '6.7'], ['Operating System', 'redhat', 'enterprise_linux_desktop', '7.0'], ['Operating System', 'redhat', 'enterprise_linux_server', '7.0'], ['Operating System', 'redhat', 'enterprise_linux_server_aus', '7.7'], ['Operating System', 'redhat', 'enterprise_linux_server_eus', '7.7'], ['Operating System', 'redhat', 'enterprise_linux_server_tus', '7.7'], ['Operating System', 'redhat', 'enterprise_linux_workstation', '7.0']]"
DarkSide,CVE-2020-1472,0.0 ,"An elevation of privilege vulnerability exists when an attacker establishes a vulnerable Netlogon secure channel connection to a domain controller, using the Netlogon Remote Protocol (MS-NRPC), aka 'Netlogon Elevation of Privilege Vulnerability'.",Network,Low,None,None,High,High,High,"[['Application', 'oracle', 'zfs_storage_appliance_kit', '8.8'], ['Operating System', 'debian', 'debian_linux', '9.0'], ['Operating System', 'canonical', 'ubuntu_linux', '14.04'], ['Operating System', 'canonical', 'ubuntu_linux', '16.04'], ['Operating System', 'canonical', 'ubuntu_linux', '18.04'], ['Operating System', 'canonical', 'ubuntu_linux', '14.04'], ['Operating System', 'canonical', 'ubuntu_linux', '16.04'], ['Operating System', 'canonical', 'ubuntu_linux', '16.04'], ['Operating System', 'canonical', 'ubuntu_linux', '18.04'], ['Operating System', 'canonical', 'ubuntu_linux', '20.04'], ['Operating System', 'fedoraproject', 'fedora', '32'], ['Operating System', 'fedoraproject', 'fedora', '33'], ['Operating System', 'fedoraproject', 'fedora', '31'], ['Operating System', 'fedoraproject', 'fedora', '32'], ['Operating System', 'fedoraproject', 'fedora', '33'], ['Application', 'samba', 'samba', 'versions up to (excluding) 4.10'], ['Application', 'samba', 'samba', '*'], ['Application', 'samba', 'samba', '*'], ['Application', 'synology', 'directory_server', 'versions up to (excluding) 4.4'], ['Operating System', 'canonical', 'ubuntu_linux', '14.04'], ['Operating System', 'canonical', 'ubuntu_linux', '16.04'], ['Operating System', 'canonical', 'ubuntu_linux', '18.04'], ['Operating System', 'fedoraproject', 'fedora', '32'], ['Operating System', 'fedoraproject', 'fedora', '33'], ['Operating System', 'opensuse', 'leap', '15.1'], ['Operating System', 'opensuse', 'leap', '15.2'], ['Operating System', 'microsoft', 'windows_server_2008', 'r2'], ['Operating System', 'microsoft', 'windows_server_2012', '-'], ['Operating System', 'microsoft', 'windows_server_2012', 'r2'], ['Operating System', 'microsoft', 'windows_server_2016', '-'], ['Operating System', 'microsoft', 'windows_server_2016', '1903'], ['Operating System', 'microsoft', 'windows_server_2016', '1909'], ['Operating System', 'microsoft', 'windows_server_2016', '2004'], ['Operating System', 'microsoft', 'windows_server_2019', '-']]"
DarkSide,CVE-2022-3236,9.8 ,A code injection vulnerability in the User Portal and Webadmin allows a remote attacker to execute code in Sophos Firewall version v19.0 MR1 and older.,Network,Low,None,None,High,High,High,"[['Application', 'sophos', 'firewall', 'versions up to (including) 19.0']]"
DarkSide,CVE-2022-35823,8.8 ,Microsoft SharePoint Remote Code Execution Vulnerability.,Network,Low,Low,None,High,High,High,"[['Application', 'microsoft', 'sharepoint_enterprise_server', '2013'], ['Application', 'microsoft', 'sharepoint_enterprise_server', '2016'], ['Application', 'microsoft', 'sharepoint_foundation', '2013'], ['Application', 'microsoft', 'sharepoint_server', '-'], ['Application', 'microsoft', 'sharepoint_server', '2019']]"
DarkSide,CVE-2022-2274,9.8 ,The OpenSSL 3.0.4 release introduced a serious bug in the RSA implementation for X86_64 CPUs supporting the AVX512IFMA instructions. This issue makes the RSA implementation with 2048 bit private keys incorrect on such machines and memory corruption will happen during the computation. As a consequence of the memory corruption an attacker may be able to trigger a remote code execution on the machine performing the computation. SSL/TLS servers or other servers using 2048 bit RSA private keys running on machines supporting AVX512IFMA instructions of the X86_64 architecture are affected by this issue.,Network,Low,None,None,High,High,High,"[['Application', 'openssl', 'openssl', '3.0.4']]"
DarkSide,CVE-2019-1579,8.1 ,"Remote Code Execution in PAN-OS 7.1.18 and earlier, PAN-OS 8.0.11-h1 and earlier, and PAN-OS 8.1.2 and earlier with GlobalProtect Portal or GlobalProtect Gateway Interface enabled may allow an unauthenticated remote attacker to execute arbitrary code.",Network,High,None,None,High,High,High,"[['Operating System', 'paloaltonetworks', 'pan-os', 'versions up to (including) 7.1'], ['Operating System', 'paloaltonetworks', 'pan-os', '*'], ['Operating System', 'paloaltonetworks', 'pan-os', '*']]"
DarkSide,CVE-2021-21985,9.8 ,The vSphere Client (HTML5) contains a remote code execution vulnerability due to lack of input validation in the Virtual SAN Health Check plug-in which is enabled by default in vCenter Server. A malicious actor with network access to port 443 may exploit this issue to execute commands with unrestricted privileges on the underlying operating system that hosts vCenter Server.,Network,Low,None,None,High,High,High,"[['Application', 'vmware', 'vcenter_server', '6.7'], ['Application', 'vmware', 'vcenter_server', '6.7'], ['Application', 'vmware', 'vcenter_server', '6.7'], ['Application', 'vmware', 'vcenter_server', '6.7'], ['Application', 'vmware', 'vcenter_server', '6.7'], ['Application', 'vmware', 'vcenter_server', '6.7'], ['Application', 'vmware', 'vcenter_server', '6.7'], ['Application', 'vmware', 'vcenter_server', '6.7'], ['Application', 'vmware', 'vcenter_server', '6.7'], ['Application', 'vmware', 'vcenter_server', '6.7'], ['Application', 'vmware', 'vcenter_server', '6.7'], ['Application', 'vmware', 'vcenter_server', '6.7'], ['Application', 'vmware', 'vcenter_server', '6.7'], ['Application', 'vmware', 'vcenter_server', '6.7'], ['Application', 'vmware', 'vcenter_server', '6.7'], ['Application', 'vmware', 'vcenter_server', '6.7'], ['Application', 'vmware', 'vcenter_server', '6.7'], ['Application', 'vmware', 'vcenter_server', '6.7'], ['Application', 'vmware', 'vcenter_server', '6.7'], ['Application', 'vmware', 'vcenter_server', '6.7'], ['Application', 'vmware', 'vcenter_server', '7.0'], ['Application', 'vmware', 'vcenter_server', '7.0'], ['Application', 'vmware', 'vcenter_server', '7.0'], ['Application', 'vmware', 'vcenter_server', '7.0'], ['Application', 'vmware', 'vcenter_server', '7.0'], ['Application', 'vmware', 'vcenter_server', '7.0'], ['Application', 'vmware', 'vcenter_server', '7.0'], ['Application', 'vmware', 'vcenter_server', '7.0'], ['Application', 'vmware', 'vcenter_server', '6.7'], ['Application', 'vmware', 'vcenter_server', '6.7'], ['Application', 'vmware', 'vcenter_server', '7.0'], ['Application', 'vmware', 'vcenter_server', '7.0'], ['Application', 'vmware', 'vcenter_server', '6.7'], ['Application', 'vmware', 'vcenter_server', '6.7'], ['Application', 'vmware', 'vcenter_server', '7.0'], ['Application', 'vmware', 'vcenter_server', '7.0'], ['Application', 'vmware', 'vcenter_server', '6.7'], ['Application', 'vmware', 'vcenter_server', '6.7'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'cloud_foundation', '*'], ['Application', 'vmware', 'cloud_foundation', '*'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5'], ['Application', 'vmware', 'vcenter_server', '6.5']]"
DarkSide,CVE-2021-26857,7.8 ,"Microsoft Exchange Server Remote Code Execution Vulnerability This CVE ID is unique from CVE-2021-26412, CVE-2021-26854, CVE-2021-26855, CVE-2021-26858, CVE-2021-27065, CVE-2021-27078.",Local,Low,None,Required,High,High,High,"[['Application', 'microsoft', 'exchange_server', '2010'], ['Application', 'microsoft', 'exchange_server', '2013'], ['Application', 'microsoft', 'exchange_server', '2016'], ['Application', 'microsoft', 'exchange_server', '2016'], ['Application', 'microsoft', 'exchange_server', '2019'], ['Application', 'microsoft', 'exchange_server', '2019']]"
DarkSide,CVE-2021-26858,7.8 ,"Microsoft Exchange Server Remote Code Execution Vulnerability This CVE ID is unique from CVE-2021-26412, CVE-2021-26854, CVE-2021-26855, CVE-2021-26857, CVE-2021-27065, CVE-2021-27078.",Local,Low,None,Required,High,High,High,"[['Application', 'microsoft', 'exchange_server', '2013'], ['Application', 'microsoft', 'exchange_server', '2016'], ['Application', 'microsoft', 'exchange_server', '2016'], ['Application', 'microsoft', 'exchange_server', '2019'], ['Application', 'microsoft', 'exchange_server', '2019']]"
DarkSide,CVE-2018-13379,9.8 ,"An Improper Limitation of a Pathname to a Restricted Directory (""Path Traversal"") in Fortinet FortiOS 6.0.0 to 6.0.4, 5.6.3 to 5.6.7 and 5.4.6 to 5.4.12 and FortiProxy 2.0.0, 1.2.0 to 1.2.8, 1.1.0 to 1.1.6, 1.0.0 to 1.0.7 under SSL VPN web portal allows an unauthenticated attacker to download system files via special crafted HTTP resource requests.",Network,Low,None,None,High,High,High,"[['Operating System', 'fortinet', 'fortios', '*'], ['Operating System', 'fortinet', 'fortios', '*']]"
DarkSide,CVE-2019-1653,7.5 ,"A vulnerability in the web-based management interface of Cisco Small Business RV320 and RV325 Dual Gigabit WAN VPN Routers could allow an unauthenticated, remote attacker to retrieve sensitive information. The vulnerability is due to improper access controls for URLs. An attacker could exploit this vulnerability by connecting to an affected device via HTTP or HTTPS and requesting specific URLs. A successful exploit could allow the attacker to download the router configuration or detailed diagnostic information. Cisco has released firmware updates that address this vulnerability.",Network,Low,None,None,High,None,None,"[['Operating System', 'cisco', 'rv320_firmware', '1.4.2.15'], ['Operating System', 'cisco', 'rv320_firmware', '1.4.2.17'], ['Hardware Devices', 'cisco', 'rv320', '-'], ['Operating System', 'cisco', 'rv325_firmware', '1.4.2.15'], ['Operating System', 'cisco', 'rv325_firmware', '1.4.2.17'], ['Hardware Devices', 'cisco', 'rv325', '-']]"
DarkSide,CVE-2019-2725,9.8 ,"Vulnerability in the Oracle WebLogic Server component of Oracle Fusion Middleware (subcomponent: Web Services). Supported versions that are affected are 10.3.6.0.0 and 12.1.3.0.0. Easily exploitable vulnerability allows unauthenticated attacker with network access via HTTP to compromise Oracle WebLogic Server. Successful attacks of this vulnerability can result in takeover of Oracle WebLogic Server. CVSS 3.0 Base Score 9.8 (Confidentiality, Integrity and Availability impacts). CVSS Vector: (CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H).",Network,Low,None,None,High,High,High,"[['Application', 'oracle', 'weblogic_server', '10.3.6.0.0'], ['Application', 'oracle', 'weblogic_server', '12.1.3.0.0'], ['Application', 'oracle', 'agile_plm', '9.3.3'], ['Application', 'oracle', 'agile_plm', '9.3.4'], ['Application', 'oracle', 'agile_plm', '9.3.5'], ['Application', 'oracle', 'communications_converged_application_server', '5.1'], ['Application', 'oracle', 'communications_converged_application_server', '7.0'], ['Application', 'oracle', 'communications_converged_application_server', '7.1'], ['Application', 'oracle', 'peoplesoft_enterprise_peopletools', '8.56'], ['Application', 'oracle', 'weblogic_server', '10.3.6.0.0'], ['Application', 'oracle', 'weblogic_server', '12.1.3.0.0']]"
DarkSide,CVE-2019-9670,9.8 ,"mailboxd component in Synacor Zimbra Collaboration Suite 8.7.x before 8.7.11p10 has an XML External Entity injection (XXE) vulnerability, as demonstrated by Autodiscover/Autodiscover.xml.",Network,Low,None,None,High,High,High,"[['Application', 'synacor', 'zimbra_collaboration_suite', '*'], ['Application', 'synacor', 'zimbra_collaboration_suite', '8.7.11'], ['Application', 'synacor', 'zimbra_collaboration_suite', '8.7.11'], ['Application', 'synacor', 'zimbra_collaboration_suite', '8.7.11'], ['Application', 'synacor', 'zimbra_collaboration_suite', '8.7.11'], ['Application', 'synacor', 'zimbra_collaboration_suite', '8.7.11']]"
DarkSide,CVE-2019-11510,0.0 ,"In Pulse Secure Pulse Connect Secure (PCS) 8.2 before 8.2R12.1, 8.3 before 8.3R7.1, and 9.0 before 9.0R3.4, an unauthenticated remote attacker can send a specially crafted URI to perform an arbitrary file reading vulnerability .",Network,Low,None,None,High,High,High,"[['Application', 'pulsesecure', 'pulse_connect_secure', '7.1'], ['Application', 'pulsesecure', 'pulse_connect_secure', '7.1'], ['Application', 'pulsesecure', 'pulse_connect_secure', '7.1'], ['Application', 'pulsesecure', 'pulse_connect_secure', '7.1'], ['Application', 'pulsesecure', 'pulse_connect_secure', '7.1'], ['Application', 'pulsesecure', 'pulse_connect_secure', '7.1'], ['Application', 'pulsesecure', 'pulse_connect_secure', '7.1'], ['Application', 'pulsesecure', 'pulse_connect_secure', '8.2'], ['Application', 'pulsesecure', 'pulse_connect_secure', '8.2'], ['Application', 'pulsesecure', 'pulse_connect_secure', '8.2'], ['Application', 'pulsesecure', 'pulse_connect_secure', '8.2'], ['Application', 'pulsesecure', 'pulse_connect_secure', '8.2'], ['Application', 'pulsesecure', 'pulse_connect_secure', '8.2'], ['Application', 'pulsesecure', 'pulse_connect_secure', '8.2'], ['Application', 'pulsesecure', 'pulse_connect_secure', '7.1'], ['Application', 'pulsesecure', 'pulse_connect_secure', '7.1'], ['Application', 'pulsesecure', 'pulse_connect_secure', '7.1'], ['Application', 'pulsesecure', 'pulse_connect_secure', '7.1'], ['Application', 'pulsesecure', 'pulse_connect_secure', '7.1'], ['Application', 'pulsesecure', 'pulse_connect_secure', '7.1'], ['Application', 'pulsesecure', 'pulse_connect_secure', '7.1']]"
DarkSide,CVE-2019-7609,0.0 ,Kibana versions before 5.6.15 and 6.6.1 contain an arbitrary code execution flaw in the Timelion visualizer. An attacker with access to the Timelion application could send a request that will attempt to execute javascript code. This could possibly lead to an attacker executing arbitrary commands with permissions of the Kibana process on the host system.,Network,Low,None,None,High,High,High,"[['Application', 'redhat', 'openshift_container_platform', '3.11'], ['Application', 'redhat', 'openshift_container_platform', '4.1'], ['Application', 'elastic', 'kibana', 'versions up to (excluding) 5.6'], ['Application', 'elastic', 'kibana', '*']]"
DarkSide,CVE-2020-5902,9.8 ,"In BIG-IP versions 15.0.0-15.1.0.3, 14.1.0-14.1.2.5, 13.1.0-13.1.3.3, 12.1.0-12.1.5.1, and 11.6.1-11.6.5.1, the Traffic Management User Interface (TMUI), also referred to as the Configuration utility, has a Remote Code Execution (RCE) vulnerability in undisclosed pages.",Network,Low,None,None,High,High,High,"[['Application', 'f5', 'big-ip_access_policy_manager', '*'], ['Application', 'f5', 'big-ip_access_policy_manager', '*'], ['Application', 'f5', 'big-ip_access_policy_manager', '*'], ['Application', 'f5', 'big-ip_access_policy_manager', '*'], ['Application', 'f5', 'big-ip_access_policy_manager', '*'], ['Application', 'f5', 'big-ip_access_policy_manager', '*'], ['Application', 'f5', 'big-ip_access_policy_manager', '*'], ['Application', 'f5', 'big-ip_access_policy_manager', '*'], ['Application', 'f5', 'big-ip_access_policy_manager', '*'], ['Application', 'f5', 'big-ip_access_policy_manager', '*'], ['Application', 'f5', 'big-ip_access_policy_manager', '*'], ['Application', 'f5', 'big-ip_access_policy_manager', '*'], ['Application', 'f5', 'big-ip_access_policy_manager', '*'], ['Application', 'f5', 'big-ip_access_policy_manager', '*'], ['Application', 'f5', 'big-ip_access_policy_manager', '*'], ['Application', 'f5', 'big-ip_access_policy_manager', '*'], ['Application', 'f5', 'big-ip_access_policy_manager', '*'], ['Application', 'f5', 'big-ip_access_policy_manager', '*'], ['Application', 'f5', 'big-ip_access_policy_manager', '*'], ['Application', 'f5', 'big-ip_access_policy_manager', '*']]"
DarkSide,CVE-2020-14882,9.8 ,"Vulnerability in the Oracle WebLogic Server product of Oracle Fusion Middleware (component: Console). Supported versions that are affected are 10.3.6.0.0, 12.1.3.0.0, 12.2.1.3.0, 12.2.1.4.0 and 14.1.1.0.0. Easily exploitable vulnerability allows unauthenticated attacker with network access via HTTP to compromise Oracle WebLogic Server. Successful attacks of this vulnerability can result in takeover of Oracle WebLogic Server. CVSS 3.1 Base Score 9.8 (Confidentiality, Integrity and Availability impacts). CVSS Vector: (CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H).",Network,Low,None,None,High,High,High,"[['Application', 'oracle', 'weblogic_server', '10.3.6.0.0'], ['Application', 'oracle', 'weblogic_server', '12.1.3.0.0'], ['Application', 'oracle', 'weblogic_server', '12.2.1.3.0'], ['Application', 'oracle', 'weblogic_server', '12.2.1.4.0'], ['Application', 'oracle', 'weblogic_server', '14.1.1.0.0']]"
